Year,Total,Year
1908,1,1908
1912,1,1912
1913,3,1913
1915,2,1915
1916,5,1916
1917,6,1917
1918,4,1918
1919,6,1919
1920,17,1920
1921,13,1921
1922,11,1922
1923,12,1923
1924,7,1924
1925,11,1925
1926,12,1926
1927,21,1927
1928,37,1928
1929,37,1929
1930,24,1930
1931,32,1931
1932,28,1932
1933,26,1933
1934,30,1934
1935,36,1935
1936,43,1936
1937,27,1937
1938,51,1938
1939,26,1939
1940,18,1940
1941,21,1941
1942,32,1942
1943,39,1943
1944,47,1944
1945,69,1945
1946,80,1946
1947,76,1947
1948,68,1948
1949,60,1949
1950,63,1950
1951,69,1951
1952,61,1952
1953,62,1953
1954,59,1954
1955,52,1955
1956,51,1956
1957,57,1957
1958,62,1958
1959,60,1959
1960,62,1960
1961,52,1961
1962,73,1962
1963,58,1963
1964,69,1964
1965,69,1965
1966,69,1966
1967,91,1967
1968,96,1968
1969,82,1969
1970,87,1970
1971,67,1971
1972,104,1972
1973,89,1973
1974,82,1974
1975,75,1975
1976,86,1976
1977,81,1977
1978,77,1978
1979,89,1979
1980,65,1980
1981,66,1981
1982,70,1982
1983,61,1983
1984,65,1984
1985,74,1985
1986,64,1986
1987,74,1987
1988,83,1988
1989,95,1989
1990,72,1990
1991,88,1991
1992,86,1992
1993,67,1993
1994,87,1994
1995,79,1995
1996,81,1996
1997,68,1997
1998,69,1998
1999,78,1999
2000,76,2000
2001,70,2001
2002,75,2002
2003,61,2003
2004,61,2004
2005,51,2005
2006,49,2006
2007,54,2007
2008,62,2008
2009,24,2009
